Total with rent,Without rent,Rent & Utilities,Food,Transport,Monthly salary after tax,Quality of life,Population,loc
$687,$262,$424,$171,$47.9,$131,9,318K,Katsina
$617,$351,$266,$243,$63.6,$115,16,848K,Ondo
$675,$378,$297,$246,$71.9,$133,16,447K,Ekiti
$736,$300,$437,$206,$46.6,$134,12,302K,Anambra
,,,,,,,,Kogi
$642,$388,$254,$208,$133,$134,7,1.2M,Borno
$684,$301,$383,$202,$56.5,$81.4,14,848K,Kwara
$517,$273,$243,$168,$65.6,$87.6,15,396K,Osun
$589,$267,$323,$164,$67.9,$129,12,760K,Kaduna
$1191,$290,$900,$143,$107,$133,17,889K,Ogun
,,,,,,,,Bayelsa
,,,,,,,,
$739,$303,$435,$206,$50.5,$133,12,359K,Abia
$764,$311,$453,$203,$49.3,$166,13,1.01M,Rivers
,,,,,,,,Taraba
,,,,,,,,Ebonyi
,,,,,,,,Kebbi
$931,$290,$642,$205,$34.9,$132,14,716K,Enugu
$849,$367,$482,$210,$117,$131,15,1.15M,Edo
,,,,,,,,Nasarawa
$676,$295,$381,$222,$23.5,$73.1,9,363K,Delta
$519,$306,$213,$174,$90.1,$138,14,3.85M,Kano
$712,$284,$428,$207,$30.7,$133,3,88K,Yobe
,,,,,,,,Benue
$613,$356,$257,$254,$55,$132,10,694K,Bauchi
$630,$354,$276,$246,$50.9,$133,12,371K,Cross River
$664,$326,$338,$234,$37.7,$133,11,322K,Niger
$715,$284,$430,$207,$30.7,$132,3,129K,Adamawa
$749,$290,$459,$183,$63.1,$108,9,623K,Plateau
$1592,$344,$1248,$222,$73,$134,11,908K,Imo
$598,$299,$299,$215,$44.1,$126,16,387K,Oyo
$740,$305,$435,$206,$51.9,$133,8,383K,Zamfara
$613,$257,$356,$157,$54.1,$133,10,428K,Sokoto
,,,,,,,,Jigawa
,,,,,,,,Gombe
,,,,,,,,Akwa Ibom
$1449,$541,$908,$296,$175,$204,40,14.9M,Lagos
